정류장명,정류장 번호,승차인원수,하차인원수,승차인원수(카드),하차인원수(카드),승차인원수(현금),일평균 승하차인원수
간석사거리(상인천중학교),39422,13346,28232,13346,28232,0,1385.93
간석사거리(상인천중학교),39426,30013,19584,30013,19584,0,1653.23
간석시장,39434,11823,27927,11823,27927,0,1325
간석시장,39436,54474,31315,54474,31315,0,2859.63
간석시장,39437,16876,23456,16876,23456,0,1344.4
간석오거리,39460,15609,16760,15609,16760,0,1078.97
간석오거리,39597,4689,3661,4689,3661,0,278.33
간석오거리(교원공제조합),39444,34016,28537,34016,28537,0,2085.1
간석오거리(교원공제조합),39446,16107,13759,16107,13759,0,995.53
간석오거리(인천웨딩홀),39406,7977,12031,7977,12031,0,666.93
간석오거리(인천웨딩홀),39423,34595,20575,34595,20575,0,1839
간석오거리역(2번출구),39448,13116,17904,13116,17904,0,1034
간석오거리역(7번출구),39447,17201,33638,17201,33638,0,1694.63
간석오거리역(8번출구),39449,62148,67245,62148,67245,0,4313.1
간석지구대,39535,807,599,807,599,0,46.87
간석지구대,39536,568,869,568,869,0,47.9
간석풍림아파트,92053,918,619,918,619,0,51.23
간석한신더휴아파트맞은편,37447,2381,443,2381,443,0,94.13
간재울초등학교,42347,5744,3749,5744,3749,0,316.43
간촌,43504,17,93,17,93,0,3.67
간촌,43518,83,11,83,11,0,3.13
갈산1동행정복지센터,40943,303,1259,303,1259,0,52.07
갈산대동아파트,40550,663,986,663,986,0,54.97
갈산동아아파트,40567,1816,1703,1816,1703,0,117.3
갈산동입구,40622,34,3807,34,3807,0,128.03
갈산동천주교회,40652,980,5157,980,5157,0,204.57
갈산동천주교회맞은편,40650,6890,5223,6890,5223,0,403.77
갈산두산아파트,40544,4913,5969,4913,5969,0,362.73
갈산사거리,40631,2535,4986,2535,4986,0,250.7
갈산사거리,40634,3327,4540,3327,4540,0,262.23
갈산새마을금고,40635,9239,2372,9239,2372,0,387.03
갈산시장,40628,6792,6598,6792,6598,0,446.33
갈산시장.갈산도서관,40629,2366,5596,2366,5596,0,265.4
갈산역,40601,36573,12663,36573,12663,0,1641.2
갈산역,40602,10078,42233,10078,42233,0,1743.7
갈산역(1번출구),40604,22998,7243,22998,7243,0,1008.03
갈산역(부평4공단)4번출구,40606,6596,18576,6596,18576,0,839.07
갈산주공1단지,40578,3258,2157,3258,2157,0,180.5
갈산주공1단지105동,40813,4647,2324,4647,2324,0,232.37
갈산주공2단지,40562,612,1423,612,1423,0,67.83
갈산주공2단지,40577,4640,7709,4640,7709,0,411.63
갈산태화아파트,40542,533,1280,533,1280,0,60.43
갈산태화아파트,40664,3453,820,3453,820,0,142.43
갈산태화아파트,40666,306,1528,306,1528,0,61.13
갈산태화아파트,40667,632,2685,632,2685,0,110.57
갈삼사거리,40940,606,734,606,734,0,44.67
갈월초등학교,40531,132,1074,132,1074,0,40.2
갈현경로당,41491,474,946,474,946,0,47.33
갈현경로당앞,41607,653,405,653,405,0,35.27
갈현교,41608,4,3,4,3,0,0.23
갈현교,41609,0,10,0,10,0,0.33
갈현교입구,41492,208,39,208,39,0,8.23
갈현교입구,41617,32,185,32,185,0,7.23
갈현동마을,41351,485,775,485,775,0,42
갈현동마을,41352,154,717,154,717,0,29.03
갑곶돈대.강화전쟁박물관,43365,9,8,9,8,0,0.57
갑곶돈대.강화전쟁박물관,43728,1,25,1,25,0,0.87
갑곶돈대입구,43367,3,9,3,9,0,0.4
갑곶돈대입구,43726,12,1,12,1,0,0.43
갑륭초교,43374,2,9,2,9,0,0.37
갑륭초교,43724,5,267,5,267,0,9.07
갑문,35125,19,474,19,474,0,16.43
