facility_id,facility_name,district,address,observation_count,source_count,source_datasets,category_details,observation_ids,match_rule
fac_72492d155743798a,늘품재가복지센터,미추홀구,"인천광역시 미추홀구 길파로28번길 34, 111호 (주안동, 대산고운누리아파트상가)",2,2,incheon_elderly | nhis_ltc,방문요양 | 재가노인복지시설 방문요양,obs_a6bf214d73e30297 | obs_c80ac124e6eacfa3,exact_normalized_district_name_address
fac_724fa678decead1f,국제공항요양원,중구,인천광역시 중구 운중로48번길 21-46 (운남동),2,2,incheon_elderly | nhis_ltc,노인요양시설 | 노인요양시설(개정법),obs_302beb649d298e34 | obs_48d767c1d1c436e7,exact_normalized_district_name_address
fac_7255773b9fb97941,엔젤복지용구,연수구,"인천광역시 연수구 청능대로137번길 47, 2층 (연수동)",2,2,incheon_elderly | nhis_ltc,복지용구 | 재가장기요양기관 복지용구,obs_a3858842a89aafd4 | obs_cd23a2b9b415a95a,exact_normalized_district_name_address
fac_727189630a7363fd,연수허브단기보호센터,연수구,"인천광역시 연수구 선학로 14(선학동, 선학시영상가)",2,2,incheon_disabled_residential | incheon_welfare,단기시설 | 장애인단기거주시설,obs_474902f6868391d9 | obs_5753e54c197be240,exact_normalized_district_name_address
fac_7275bd0943565ca2,보담노인재활주간보호센터,계양구,"인천광역시 계양구 안남로 548, 411호 (효성동, 효성프라자)",6,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양 | 재가노인복지시설 주야간보호 | 주야간보호,obs_02de1caa552c6816 | obs_460867b7104811d7 | obs_6b1c7f55de15c70d | obs_8153aef0ff797d05 | obs_c2a3205eb9c57226 | obs_ea6ff85186dc85f3,exact_normalized_district_name_address
fac_7290ff028fad5235,그룹홈안젤로2호,연수구,"인천광역시 연수구 청학로28번길 14,301호(청학동)",2,2,incheon_disabled_residential | incheon_welfare,공동생활가정 | 장애인공동생활가정,obs_82f9d9537f067eaa | obs_a1a9795638b4d920,exact_normalized_district_name_address
fac_72becc38256a2aed,굿케어방문요양서비스센터,서구,인천광역시 서구 길주로136번길 19-1 2층201호 (석남동),2,2,incheon_elderly | nhis_ltc,방문요양 | 재가노인복지시설 방문요양,obs_1996d1198be540d5 | obs_a1d5f9f093042582,exact_normalized_district_name_address
fac_72d523b0046fbbce,고은재가복지센터,미추홀구,"인천광역시 미추홀구 경인로 120, 2층 19-1호 (숭의동)",5,3,incheon_elderly | michuhol_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가노인복지시설 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_11c3a45d49b9d422 | obs_60cb800b8d59ce75 | obs_947c618c6d83bab6 | obs_a12a8ce4febf68d8 | obs_d8beb31fd2b78451,exact_normalized_district_name_address
fac_72d5f246f1f743e3,광명복지센터,연수구,인천광역시 연수구 청능대로 53번길 31 (청학동),6,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 복지용구 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양 | 재가장기요양기관 복지용구,obs_06f79c4696423fd0 | obs_aa0b229b3c2c3eb2 | obs_aee3eb38bc82555b | obs_baed079bd9c76b6b | obs_bb75c112e9e32cc3 | obs_d67a9c79be6d7c2c,exact_normalized_district_name_address
fac_72df8ad9c838b669,은빛요양원,부평구,"인천광역시 부평구 화랑로 14, 5~6층 (산곡동)",2,2,incheon_elderly | nhis_ltc,노인요양시설 | 노인요양시설(개정법),obs_858f346c2c4dc518 | obs_b58d41359521ab9d,exact_normalized_district_name_address
