source_date,mode,place_id,source_id,source_code,name,source_district,district,dong,admin_dong_code,latitude,longitude,coordinate_status,in_incheon
20260228,bus,bus:162000078,162000078,36078,HD현대인프라코어후문,동구,제물포구,만석동,,37.4871502,126.6247450,valid_header_swapped,true
20260228,bus,bus:163000383,163000383,37383,JC회관,미추홀구,미추홀구,주안1동,,37.4641521,126.6749035,valid_header_swapped,true
20260228,bus,bus:168001491,168001491,89491,JST기술연구소,서구,검단구,오류동,,37.5978749,126.6156641,valid_header_swapped,true
20260228,bus,bus:168001492,168001492,89492,JST기술연구소,서구,검단구,오류동,,37.5978380,126.6159366,valid_header_swapped,true
20260228,bus,bus:168000391,168000391,42391,KCC아파트,서구,검단구,당하동,,37.5886700,126.6776012,valid_header_swapped,true
20260228,bus,bus:162000144,162000144,36144,KG모빌리티인천서비스센터,동구,제물포구,송현3동,,37.4874859,126.6489710,valid_header_swapped,true
20260228,bus,bus:168000008,168000008,42008,KG스틸,서구,서해구,가좌1동,,37.4807481,126.6728023,valid_header_swapped,true
20260228,bus,bus:213000486,213000486,58057,KTX광명역4번출구,코드정보 없음,코드정보 없음,소하2동,,37.4156756,126.8834350,outside_incheon_bounds,false
20260228,bus,bus:210000003,210000003,55003,KT부천지사사거리,코드정보 없음,코드정보 없음,상3동,,37.4886570,126.7531809,valid_header_swapped,false
20260228,bus,bus:166000384,166000384,40384,KT부평지사,부평구,부평구,산곡4동,,37.5039131,126.7121846,valid_header_swapped,true
20260228,bus,bus:166000381,166000381,40381,KT부평지사,부평구,부평구,부평3동,,37.5037403,126.7114895,valid_header_swapped,true
20260228,bus,bus:168000932,168000932,42932,KT서인천지사,서구,서해구,연희동,,37.5425268,126.6726312,valid_header_swapped,true
20260228,bus,bus:168000933,168000933,42933,KT서인천지사,서구,서해구,연희동,,37.5425417,126.6725097,valid_header_swapped,true
20260228,bus,bus:164000568,164000568,38568,KT송도지점,연수구,연수구,옥련1동,,37.4211932,126.6446072,valid_header_swapped,true
20260228,bus,bus:169000523,169000523,43523,KT온수분국,강화군,강화군,길상면,,37.6391286,126.4838046,valid_header_swapped,true
20260228,bus,bus:161000095,161000095,35095,KT인천공항지사,중구,영종구,운서동,,37.4917599,126.4905408,valid_header_swapped,true
20260228,bus,bus:161000109,161000109,35109,KT인천공항지사,중구,영종구,운서동,,37.4933948,126.4903052,valid_header_swapped,true
20260228,bus,bus:163000415,163000415,37415,KT인천지사,미추홀구,미추홀구,주안6동,,37.4600294,126.6942791,valid_header_swapped,true
20260228,bus,bus:165000319,165000319,39319,KT인천지사,남동구,남동구,만수5동,,37.4610082,126.6970238,valid_header_swapped,true
20260228,bus,bus:210000525,210000525,55081,KT중동지사,코드정보 없음,코드정보 없음,중1동,,37.5024846,126.7607453,valid_header_swapped,false
20260228,bus,bus:210000551,210000551,55082,KT중동지사,코드정보 없음,코드정보 없음,중1동,,37.5022459,126.7608225,valid_header_swapped,false
20260228,bus,bus:168001264,168001264,89264,LG마그나,서구,서해구,검암경서동,,37.5548518,126.6452307,valid_header_swapped,true
20260228,bus,bus:168001029,168001029,89029,LG마그나,서구,서해구,검암경서동,,37.5546478,126.6450607,valid_header_swapped,true
20260228,bus,bus:165000043,165000043,39043,LG물류센터,남동구,남동구,논현고잔동,,37.3923139,126.7130021,valid_header_swapped,true
20260228,bus,bus:165000044,165000044,39044,LG물류센터,남동구,남동구,논현고잔동,,37.3924563,126.7127967,valid_header_swapped,true
