reference_year,reference_period,source_admin_code,source_admin_name,source_sido_name,source_sigungu_name,source_eupmyeondong_name,harmonization_status,households_total,one_person_households,two_person_households,three_person_households,four_person_households,five_person_households,six_person_households,seven_person_households,eight_person_households,nine_person_households,ten_plus_person_households,one_person_household_share_pct,source_file
2021,2021-12,2823758000,인천광역시 부평구 산곡2동,인천광역시,부평구,산곡2동,pre_reform_code_preserved_district_not_reorganized,11022,2047,2515,2730,2927,643,125,24,8,2,1,18.5719,jumin_households_size_202112.csv
2021,2021-12,2823758100,인천광역시 부평구 산곡3동,인천광역시,부평구,산곡3동,pre_reform_code_preserved_district_not_reorganized,8867,2533,2341,1844,1630,389,98,21,5,3,3,28.5666,jumin_households_size_202112.csv
2021,2021-12,2823758200,인천광역시 부평구 산곡4동,인천광역시,부평구,산곡4동,pre_reform_code_preserved_district_not_reorganized,6679,1530,1651,1626,1429,359,60,15,7,1,1,22.9076,jumin_households_size_202112.csv
2021,2021-12,2823759100,인천광역시 부평구 청천1동,인천광역시,부평구,청천1동,pre_reform_code_preserved_district_not_reorganized,3466,1602,868,541,352,78,23,0,2,0,0,46.2204,jumin_households_size_202112.csv
2021,2021-12,2823759200,인천광역시 부평구 청천2동,인천광역시,부평구,청천2동,pre_reform_code_preserved_district_not_reorganized,14595,4433,3755,3127,2609,536,98,27,8,0,2,30.3734,jumin_households_size_202112.csv
2021,2021-12,2823764100,인천광역시 부평구 갈산1동,인천광역시,부평구,갈산1동,pre_reform_code_preserved_district_not_reorganized,7373,2664,1896,1494,1029,232,50,8,0,0,0,36.1318,jumin_households_size_202112.csv
2021,2021-12,2823764200,인천광역시 부평구 갈산2동,인천광역시,부평구,갈산2동,pre_reform_code_preserved_district_not_reorganized,8240,3058,2061,1481,1222,323,73,17,4,1,0,37.1117,jumin_households_size_202112.csv
2021,2021-12,2823764600,인천광역시 부평구 삼산1동,인천광역시,부평구,삼산1동,pre_reform_code_preserved_district_not_reorganized,13975,4517,3446,2883,2537,495,77,17,2,0,1,32.3220,jumin_households_size_202112.csv
2021,2021-12,2823764800,인천광역시 부평구 삼산2동,인천광역시,부평구,삼산2동,pre_reform_code_preserved_district_not_reorganized,10288,2067,2286,2411,2803,619,81,17,3,0,1,20.0914,jumin_households_size_202112.csv
2021,2021-12,2823765000,인천광역시 부평구 부개1동,인천광역시,부평구,부개1동,pre_reform_code_preserved_district_not_reorganized,7750,3235,2123,1268,853,213,45,8,3,1,1,41.7419,jumin_households_size_202112.csv
2021,2021-12,2823766000,인천광역시 부평구 부개2동,인천광역시,부평구,부개2동,pre_reform_code_preserved_district_not_reorganized,8385,2622,2187,1749,1423,323,61,17,3,0,0,31.2701,jumin_households_size_202112.csv
2021,2021-12,2823766100,인천광역시 부평구 부개3동,인천광역시,부평구,부개3동,pre_reform_code_preserved_district_not_reorganized,12442,3622,3074,2713,2462,462,83,21,3,2,0,29.1111,jumin_households_size_202112.csv
2021,2021-12,2823767000,인천광역시 부평구 일신동,인천광역시,부평구,일신동,pre_reform_code_preserved_district_not_reorganized,5228,1585,1451,1098,825,226,33,7,1,0,2,30.3175,jumin_households_size_202112.csv
2021,2021-12,2823768000,인천광역시 부평구 십정1동,인천광역시,부평구,십정1동,pre_reform_code_preserved_district_not_reorganized,6374,2508,1596,1148,878,197,37,10,0,0,0,39.3473,jumin_households_size_202112.csv
2021,2021-12,2823769000,인천광역시 부평구 십정2동,인천광역시,부평구,십정2동,pre_reform_code_preserved_district_not_reorganized,11601,5560,2809,1707,1147,297,61,16,4,0,0,47.9269,jumin_households_size_202112.csv
2021,2021-12,2824560100,인천광역시 계양구 효성1동,인천광역시,계양구,효성1동,pre_reform_code_preserved_district_not_reorganized,11625,3762,3073,2358,1894,443,79,14,2,0,0,32.3613,jumin_households_size_202112.csv
2021,2021-12,2824560200,인천광역시 계양구 효성2동,인천광역시,계양구,효성2동,pre_reform_code_preserved_district_not_reorganized,11724,3271,3131,2578,2134,496,90,20,4,0,0,27.9000,jumin_households_size_202112.csv
2021,2021-12,2824561100,인천광역시 계양구 계산1동,인천광역시,계양구,계산1동,pre_reform_code_preserved_district_not_reorganized,10034,5031,2356,1431,950,210,48,8,0,0,0,50.1395,jumin_households_size_202112.csv
2021,2021-12,2824561200,인천광역시 계양구 계산2동,인천광역시,계양구,계산2동,pre_reform_code_preserved_district_not_reorganized,7869,3694,1909,1232,809,177,36,6,4,1,1,46.9437,jumin_households_size_202112.csv
2021,2021-12,2824561300,인천광역시 계양구 계산3동,인천광역시,계양구,계산3동,pre_reform_code_preserved_district_not_reorganized,8630,3154,2320,1681,1176,256,33,8,2,0,0,36.5469,jumin_households_size_202112.csv
2021,2021-12,2824561400,인천광역시 계양구 계산4동,인천광역시,계양구,계산4동,pre_reform_code_preserved_district_not_reorganized,9185,3053,1596,1837,2187,432,64,13,0,3,0,33.2390,jumin_households_size_202112.csv
2021,2021-12,2824562100,인천광역시 계양구 작전1동,인천광역시,계양구,작전1동,pre_reform_code_preserved_district_not_reorganized,11279,3250,2860,2468,2174,438,74,10,4,1,0,28.8146,jumin_households_size_202112.csv
2021,2021-12,2824562200,인천광역시 계양구 작전2동,인천광역시,계양구,작전2동,pre_reform_code_preserved_district_not_reorganized,9143,3510,2425,1733,1189,234,38,9,5,0,0,38.3900,jumin_households_size_202112.csv
2021,2021-12,2824564000,인천광역시 계양구 작전서운동,인천광역시,계양구,작전서운동,pre_reform_code_preserved_district_not_reorganized,14204,4360,3289,3082,2756,575,108,27,4,2,1,30.6956,jumin_households_size_202112.csv
2021,2021-12,2824571000,인천광역시 계양구 계양1동,인천광역시,계양구,계양1동,pre_reform_code_preserved_district_not_reorganized,8571,2636,2197,1787,1481,361,75,20,8,2,4,30.7549,jumin_households_size_202112.csv
2021,2021-12,2824572000,인천광역시 계양구 계양2동,인천광역시,계양구,계양2동,pre_reform_code_preserved_district_not_reorganized,15682,6568,3972,2713,1897,442,69,15,3,1,2,41.8824,jumin_households_size_202112.csv
2021,2021-12,2824573000,인천광역시 계양구 계양3동,인천광역시,계양구,계양3동,pre_reform_code_preserved_district_not_reorganized,10038,2705,2587,2200,1926,489,96,28,4,3,0,26.9476,jumin_households_size_202112.csv
2021,2021-12,2826051500,인천광역시 서구 검암경서동,인천광역시,서구,검암경서동,requires_2026_07_01_reform_crosswalk,19773,7299,4558,3797,3189,737,145,32,11,4,1,36.9140,jumin_households_size_202112.csv
2021,2021-12,2826053000,인천광역시 서구 연희동,인천광역시,서구,연희동,requires_2026_07_01_reform_crosswalk,19054,8061,4471,3276,2533,601,88,15,7,1,1,42.3061,jumin_households_size_202112.csv
2021,2021-12,2826053600,인천광역시 서구 청라1동,인천광역시,서구,청라1동,requires_2026_07_01_reform_crosswalk,11943,3440,2128,2719,2835,666,113,28,11,2,1,28.8035,jumin_households_size_202112.csv
2021,2021-12,2826053700,인천광역시 서구 청라2동,인천광역시,서구,청라2동,requires_2026_07_01_reform_crosswalk,18069,4788,3305,3993,4685,1082,153,45,8,8,2,26.4984,jumin_households_size_202112.csv
2021,2021-12,2826053900,인천광역시 서구 청라3동,인천광역시,서구,청라3동,requires_2026_07_01_reform_crosswalk,11193,2528,1989,2724,3048,742,125,25,8,3,1,22.5855,jumin_households_size_202112.csv
2021,2021-12,2826054200,인천광역시 서구 가정1동,인천광역시,서구,가정1동,requires_2026_07_01_reform_crosswalk,12006,4206,2770,2450,2097,401,59,20,3,0,0,35.0325,jumin_households_size_202112.csv
2021,2021-12,2826054300,인천광역시 서구 가정2동,인천광역시,서구,가정2동,requires_2026_07_01_reform_crosswalk,3036,1177,824,571,375,70,16,3,0,0,0,38.7681,jumin_households_size_202112.csv
2021,2021-12,2826054400,인천광역시 서구 가정3동,인천광역시,서구,가정3동,requires_2026_07_01_reform_crosswalk,4406,1739,1108,798,590,129,35,4,3,0,0,39.4689,jumin_households_size_202112.csv
